1,2,3,4,5,6
8.73E-05,5.93E-05,0.000179564,0.001948862,0.006471479,0.003468489
8.36E-05,0.0001387,0.00027012,0.001582467,0.007010852,0.001863286
3.80E-05,7.02E-05,0.000148102,0.000683874,0.003693469,0.001648278
1.77E-05,3.36E-05,7.52E-05,0.00035137,0.001778935,0.001161474
9.92E-06,2.00E-05,4.62E-05,0.000289929,0.000973315,0.001090518
8.00E-06,1.44E-05,3.27E-05,0.000266526,0.000679786,0.001015965
8.75E-06,1.08E-05,2.45E-05,0.000258837,0.000591212,0.00093856
9.58E-06,7.41E-06,1.87E-05,0.000258372,0.000614258,0.000858685
1.03E-05,4.98E-06,1.47E-05,0.000261092,0.00063719,0.000776642
1.10E-05,3.47E-06,1.22E-05,0.000264707,0.000657702,0.000692854
1.15E-05,4.81E-06,1.20E-05,0.000267683,0.000674078,0.000608023
1.19E-05,6.91E-06,1.34E-05,0.000268822,0.000684338,0.000523247
1.22E-05,8.81E-06,1.59E-05,0.000267107,0.000686341,0.000440074
1.22E-05,1.10E-05,1.90E-05,0.000261701,0.000678038,0.000360452
1.20E-05,1.26E-05,2.14E-05,0.000252034,0.000657869,0.00028654
1.16E-05,1.35E-05,2.29E-05,0.000237933,0.000625214,0.000220411
1.09E-05,1.39E-05,2.34E-05,0.000219725,0.000580767,0.000163666
9.94E-06,1.35E-05,2.29E-05,0.000198244,0.000526633,0.000117125
8.91E-06,1.27E-05,2.14E-05,0.000174716,0.000466062,8.07E-05
7.88E-06,1.15E-05,1.93E-05,0.000150533,0.000402857,5.34E-05
6.90E-06,1.01E-05,1.68E-05,0.000127007,0.000340686,3.39E-05
6.04E-06,8.63E-06,1.43E-05,0.000105173,0.000282518,2.05E-05
5.34E-06,7.21E-06,1.19E-05,8.57E-05,0.000230332,1.15E-05
4.74E-06,5.92E-06,9.68E-06,6.89E-05,0.00018511,5.75E-06
4.24E-06,4.79E-06,7.80E-06,5.48E-05,0.000147014,2.20E-06
3.82E-06,3.84E-06,6.31E-06,4.32E-05,0.000115641,1.37E-06
3.50E-06,3.05E-06,5.19E-06,3.38E-05,9.03E-05,2.34E-06
3.29E-06,2.42E-06,4.38E-06,2.63E-05,7.00E-05,2.93E-06
3.22E-06,1.91E-06,3.74E-06,2.05E-05,5.41E-05,3.29E-06
