,graph_type,modularity_classic,modularity_gcn,modularity_combo,modularity_combo_restricted,NMI_gcn,NMI,model_parameter
celeganmetabolic_453.mat,directed,0.212995,0.11916756,0.4514651083433376,0.48643226852002347,0.46301709724612355,0.33602310255652973,"GCN(
  (layers): ModuleList(
    (0): MyGraphConv_2_W(in=74, out=74, normalization=none, activation=<function relu at 0x000001DD92435AF8>)
  )
  (dropout): Dropout(p=0.0, inplace=False)
)"
celegansneural_297.mat,directed,0.012340438,0.005875965,0.507641752830326,0.48149634105085876,0.48637925859333103,0.05901540351141363,"GCN(
  (layers): ModuleList(
    (0): MyGraphConv_2_W(in=3, out=3, normalization=none, activation=<function relu at 0x000001DD92435AF8>)
  )
  (dropout): Dropout(p=0.0, inplace=False)
)"
copperfield_112.mat,undirected,0.30550864,0.27472663,0.2985079584775124,0.2985079584775124,0.9227692813456134,0.4586326460014708,"GCN(
  (layers): ModuleList(
    (0): MyGraphConv_2_W(in=7, out=7, normalization=none, activation=<function relu at 0x000001DD92435AF8>)
  )
  (dropout): Dropout(p=0.0, inplace=False)
)"
email_1133.mat,undirected,0.57362545,0.5164249,0.5828014941810017,0.5827510119087104,0.8148467163720784,0.7712571613700753,"GCN(
  (layers): ModuleList(
    (0): MyGraphConv_2_W(in=11, out=11, normalization=none, activation=<function relu at 0x000001DD92435AF8>)
  )
  (dropout): Dropout(p=0.0, inplace=False)
)"
jazz_198.mat,directed,0.25300336,0.28200358,0.4444447104526879,0.452854509711654,0.6817662635562615,0.5132458880646175,"GCN(
  (layers): ModuleList(
    (0): MyGraphConv_2_W(in=10, out=10, normalization=none, activation=<function relu at 0x000001DD92435AF8>)
  )
  (dropout): Dropout(p=0.0, inplace=False)
)"
karate_34.mat,undirected,0.41978958,0.35963184,0.41978961209730403,0.41978961209730403,0.7359252335407386,1.0,"GCN(
  (layers): ModuleList(
    (0): MyGraphConv_2_W(in=4, out=4, normalization=none, activation=<function relu at 0x000001DD92435AF8>)
  )
  (dropout): Dropout(p=0.0, inplace=False)
)"
lesmis_77.mat,undirected,0.5471434,0.5485383,0.566687983343249,0.566687983343249,0.9699342975296963,1.0,"GCN(
  (layers): ModuleList(
    (0): MyGraphConv_2_W(in=6, out=6, normalization=none, activation=<function relu at 0x000001DD92435AF8>)
  )
  (dropout): Dropout(p=0.0, inplace=False)
)"
polbooks_105.mat,undirected,0.52696663,0.45419863,0.5272365938060765,0.5272365938060765,0.6581427064118255,0.9407568554726874,"GCN(
  (layers): ModuleList(
    (0): MyGraphConv_2_W(in=5, out=5, normalization=none, activation=<function relu at 0x000001DD92435AF8>)
  )
  (dropout): Dropout(p=0.0, inplace=False)
)"
USAir97_332.mat,directed,0.063172735,0.032170344,0.2147356510856881,0.7552637191058766,0.21436960489596488,0.23598480471068214,"GCN(
  (layers): ModuleList(
    (0): MyGraphConv_2_W(in=54, out=54, normalization=none, activation=<function relu at 0x000001DD92435AF8>)
  )
  (dropout): Dropout(p=0.0, inplace=False)
)"
USairports_1858.mat,directed,0.18115743,0.14360791,0.2755243410438753,0.2755202783235524,0.46549624090056163,0.3459856263355043,"GCN(
  (layers): ModuleList(
    (0): MyGraphConv_2_W(in=408, out=408, normalization=none, activation=<function relu at 0x000001DD92435AF8>)
  )
  (dropout): Dropout(p=0.0, inplace=False)
)"
