,initial_partition_approach,number_of_communities,initial modularity,modularity after fine-tuning and binary assigned,modularity after fine-tuning,COMBO modularity_not_restricted,COMBO modularity
celeganmetabolic_453.mat,LPA,74,0.024451893,0.09372997,0.03328210860490799,0.4514651083433376,0.48643226852002347
celegansneural_297.mat,LPA,3,-0.0016633561,0.05808121,0.02263539656996727,0.507641752830326,0.48149634105085876
copperfield_112.mat,Louvain,7,0.07785744,0.14987405,0.007967074401676655,0.2985079584775124,0.2985079584775124
email_1133.mat,Louvain,11,0.17659798,0.3271482,0.05094224587082863,0.5828014941810017,0.5827510119087104
jazz_198.mat,LPA,10,0.011427714,0.28013223,0.2438177913427353,0.4444447104526879,0.452854509711654
karate_34.mat,Louvain,4,0.099358976,0.33325115,0.18165363371372223,0.41978961209730403,0.41978961209730403
lesmis_77.mat,Louvain,6,0.14218178,0.3722565,0.17418666183948517,0.566687983343249,0.566687983343249
polbooks_105.mat,Louvain,5,0.08781063,0.44141835,0.2946074306964874,0.5272365938060765,0.5272365938060765
USAir97_332.mat,LPA,54,-8.318969e-05,0.03006452,0.015581231564283371,0.2147356510856881,0.7552637191058766
USairports_1858.mat,LPA,408,0.04654316,0.13623136,0.09863656759262085,0.2755243410438753,0.2755202783235524
