network name,initial_partition_approach,moderate perturbation,actual_initial_partition approach,number_of_communities,modularity after fine-tuning and binary assigned,modularity after fine-tuning,COMBO modularity_not_restricted,COMBO modularity
celeganmetabolic_453.mat,LPA,YES,0.053047415,74,0.17838645,0.052697554,0.451465108,0.486432269
celegansneural_297.mat,LPA,YES,0.003297426,3,0.07227172,0.016246017,0.507641753,0.481496341
copperfield_112.mat,Louvain,YES,0.080457605,7,0.20697854,0.079463065,0.298507958,0.298507958
email_1133.mat,Louvain,YES,0.137155682,11,0.41416937,0.15982829,0.582801494,0.582751012
jazz_198.mat,LPA,YES,0.057640426,10,0.27955976,0.198322073,0.44444471,0.45285451
karate_34.mat,Louvain,YES,0.06375283,4,0.35346812,0.139930412,0.419789612,0.419789612
lesmis_77.mat,Louvain,YES,-0.111981198,6,0.39197254,0.213000149,0.566687983,0.566687983
polbooks_105.mat,Louvain,YES,0.141885608,5,0.44141835,0.329628348,0.527236594,0.527236594
USAir97_332.mat,LPA,YES,0.013373407,54,0.052330397,0.01379426,0.214735651,0.755263719
USairports_1858.mat,LPA,YES,0.04519973,408,0.16119942,0.101035811,0.275524341,0.275520278
